,filename,range_lambdas,alpha_half,run_time,best_feasible_obj,best_lb,number_lagrangian_iterations,what_stopped_lagrangian
182,cap62,90,6,1.665952444076538,977799.4,977389.7786500442,25,reached subgradient tolerance
183,cap62,90,8,1.7626919746398926,977799.4,977585.6422914701,25,reached subgradient tolerance
184,cap62,90,10,1.6937201023101807,977799.4,977680.2039457699,21,reached subgradient tolerance
185,cap62,90,12,1.4473602771759033,977799.4,977745.3954368515,20,reached subgradient tolerance and dual gap tolerance
186,cap62,90,14,1.964608907699585,977799.4,977794.8013821578,26,reached dual gap tolerance
187,cap62,90,16,1.6276428699493408,977799.4,977799.3999999998,24,reached subgradient tolerance and dual gap tolerance
188,cap62,90,18,1.8137688636779785,977799.4,977727.1689764019,29,reached dual gap tolerance
189,cap62,90,20,1.8224875926971436,977799.4,977687.7257506489,27,reached subgradient tolerance
190,cap62,100,2,8.82196307182312,977799.4,961860.8435824452,201,max iterations
191,cap62,100,4,8.412879943847656,977799.4,976603.7129415044,201,max iterations
192,cap62,100,6,1.6992383003234863,977799.4,977389.7786500442,25,reached subgradient tolerance
193,cap62,100,8,1.9492058753967285,977799.4,977585.6422914701,25,reached subgradient tolerance
194,cap62,100,10,1.5918939113616943,977799.4,977680.2039457699,21,reached subgradient tolerance
195,cap62,100,12,1.4831156730651855,977799.4,977745.3954368515,20,reached subgradient tolerance and dual gap tolerance
196,cap62,100,14,1.756532907485962,977799.4,977794.8013821578,26,reached dual gap tolerance
197,cap62,100,16,1.5789060592651367,977799.4,977799.3999999998,24,reached subgradient tolerance and dual gap tolerance
198,cap62,100,18,1.9306282997131348,977799.4,977727.1689764019,29,reached dual gap tolerance
199,cap62,100,20,1.924612045288086,977799.4,977687.7257506489,27,reached subgradient tolerance
200,cap71,10,2,0.3935515880584717,0.0,0.0,0,unclear if the intergrality property holds
201,cap71,10,4,0.3875880241394043,0.0,0.0,0,unclear if the intergrality property holds
202,cap71,10,6,0.2667663097381592,0.0,0.0,0,unclear if the intergrality property holds
203,cap71,10,8,0.26277947425842285,0.0,0.0,0,unclear if the intergrality property holds
204,cap71,10,10,0.2857208251953125,0.0,0.0,0,unclear if the intergrality property holds
205,cap71,10,12,0.27548813819885254,0.0,0.0,0,unclear if the intergrality property holds
206,cap71,10,14,0.2740507125854492,0.0,0.0,0,unclear if the intergrality property holds
207,cap71,10,16,0.2635152339935303,0.0,0.0,0,unclear if the intergrality property holds
208,cap71,10,18,0.2615699768066406,0.0,0.0,0,unclear if the intergrality property holds
209,cap71,10,20,0.2630312442779541,0.0,0.0,0,unclear if the intergrality property holds
210,cap71,20,2,0.41731810569763184,0.0,0.0,0,unclear if the intergrality property holds
211,cap71,20,4,0.401456356048584,0.0,0.0,0,unclear if the intergrality property holds
212,cap71,20,6,0.40136241912841797,0.0,0.0,0,unclear if the intergrality property holds
213,cap71,20,8,0.40090513229370117,0.0,0.0,0,unclear if the intergrality property holds
214,cap71,20,10,0.40902137756347656,0.0,0.0,0,unclear if the intergrality property holds
215,cap71,20,12,0.3969693183898926,0.0,0.0,0,unclear if the intergrality property holds
216,cap71,20,14,0.4093184471130371,0.0,0.0,0,unclear if the intergrality property holds
217,cap71,20,16,0.40367555618286133,0.0,0.0,0,unclear if the intergrality property holds
218,cap71,20,18,0.3967757225036621,0.0,0.0,0,unclear if the intergrality property holds
219,cap71,20,20,0.4018831253051758,0.0,0.0,0,unclear if the intergrality property holds
220,cap71,30,2,5.706022024154663,932615.75,921445.9512482435,201,max iterations
221,cap71,30,4,5.5133056640625,932615.75,930393.4309160936,201,max iterations
222,cap71,30,6,1.1501221656799316,932615.75,932528.4611288696,23,reached dual gap tolerance
223,cap71,30,8,0.9351205825805664,932615.75,932522.9451194038,15,reached dual gap tolerance
224,cap71,30,10,1.0178182125091553,932615.75,932557.1392528693,18,reached dual gap tolerance
225,cap71,30,12,1.1721899509429932,932615.75,932528.1499710261,24,reached dual gap tolerance
226,cap71,30,14,1.1363887786865234,932615.75,932531.2643227094,23,reached dual gap tolerance
227,cap71,30,16,1.1174006462097168,932615.75,932555.1496084552,22,reached dual gap tolerance
228,cap71,30,18,1.1708335876464844,932615.75,932615.7500000001,24,reached subgradient tolerance and dual gap tolerance
229,cap71,30,20,1.1757614612579346,932615.75,932528.6571723116,23,reached dual gap tolerance
230,cap71,40,2,5.633044004440308,932615.75,921445.9512482435,201,max iterations
231,cap71,40,4,5.402737855911255,932615.75,930393.4309160936,201,max iterations
232,cap71,40,6,1.1695961952209473,932615.75,932528.4611288696,23,reached dual gap tolerance
233,cap71,40,8,0.9301607608795166,932615.75,932522.9451194038,15,reached dual gap tolerance
234,cap71,40,10,1.0285818576812744,932615.75,932557.1392528693,18,reached dual gap tolerance
235,cap71,40,12,1.200664758682251,932615.75,932528.1499710261,24,reached dual gap tolerance
236,cap71,40,14,1.1761281490325928,932615.75,932531.2643227094,23,reached dual gap tolerance
