,filename,range_lambdas,alpha_half,run_time,best_feasible_obj,best_lb,number_lagrangian_iterations,what_stopped_lagrangian
145,cap62,50,12,3.067723035812378,977799.4,977490.6137822521,37,reached subgradient tolerance
146,cap62,50,14,2.971859931945801,977799.4,977573.64672658,43,reached subgradient tolerance
147,cap62,50,16,2.789001226425171,977799.4,977417.2203856023,32,reached subgradient tolerance
148,cap62,50,18,2.1410272121429443,977799.4,977564.1896411458,28,reached subgradient tolerance
149,cap62,50,20,2.5028433799743652,977799.4,977748.2724136482,36,reached dual gap tolerance
150,cap62,60,2,7.296944856643677,982761.8375,951146.5114992562,201,max iterations
151,cap62,60,4,10.861313581466675,977799.4,956539.0965504375,201,max iterations
152,cap62,60,6,11.589362621307373,977799.4,972974.8855395088,201,max iterations
153,cap62,60,8,9.838183879852295,977799.4,976468.1258047604,201,max iterations
154,cap62,60,10,2.667839527130127,977799.4,977721.1237938041,36,reached dual gap tolerance
155,cap62,60,12,2.6561691761016846,977799.4,977490.6137822521,37,reached subgradient tolerance
156,cap62,60,14,2.8370883464813232,977799.4,977573.64672658,43,reached subgradient tolerance
157,cap62,60,16,2.366240978240967,977799.4,977417.2203856023,32,reached subgradient tolerance
158,cap62,60,18,2.111443281173706,977799.4,977564.1896411458,28,reached subgradient tolerance
159,cap62,60,20,2.364847421646118,977799.4,977748.2724136482,36,reached dual gap tolerance
160,cap62,70,2,7.280729055404663,982761.8375,951146.5114992562,201,max iterations
161,cap62,70,4,8.584968090057373,977799.4,956539.0965504375,201,max iterations
162,cap62,70,6,9.384223461151123,977799.4,972974.8855395088,201,max iterations
163,cap62,70,8,9.785220861434937,977799.4,976468.1258047604,201,max iterations
164,cap62,70,10,2.7150981426239014,977799.4,977721.1237938041,36,reached dual gap tolerance
165,cap62,70,12,2.518312454223633,977799.4,977490.6137822521,37,reached subgradient tolerance
166,cap62,70,14,2.915144443511963,977799.4,977573.64672658,43,reached subgradient tolerance
167,cap62,70,16,2.578033924102783,977799.4,977417.2203856023,32,reached subgradient tolerance
168,cap62,70,18,2.3619871139526367,977799.4,977564.1896411458,28,reached subgradient tolerance
169,cap62,70,20,2.752603769302368,977799.4,977748.2724136482,36,reached dual gap tolerance
170,cap62,80,2,7.608428478240967,982761.8375,951146.5114992562,201,max iterations
171,cap62,80,4,8.80699348449707,977799.4,956539.0965504375,201,max iterations
172,cap62,80,6,9.660115242004395,977799.4,972974.8855395088,201,max iterations
173,cap62,80,8,9.917228698730469,977799.4,976468.1258047604,201,max iterations
174,cap62,80,10,2.805187225341797,977799.4,977721.1237938041,36,reached dual gap tolerance
175,cap62,80,12,3.099052667617798,977799.4,977490.6137822521,37,reached subgradient tolerance
176,cap62,80,14,3.4469518661499023,977799.4,977573.64672658,43,reached subgradient tolerance
177,cap62,80,16,2.587491035461426,977799.4,977417.2203856023,32,reached subgradient tolerance
178,cap62,80,18,2.514698028564453,977799.4,977564.1896411458,28,reached subgradient tolerance
179,cap62,80,20,2.7673611640930176,977799.4,977748.2724136482,36,reached dual gap tolerance
180,cap62,90,2,7.963756084442139,982761.8375,951146.5114992562,201,max iterations
181,cap62,90,4,10.412362575531006,977799.4,956539.0965504375,201,max iterations
182,cap62,90,6,10.272348880767822,977799.4,972974.8855395088,201,max iterations
183,cap62,90,8,10.001132249832153,977799.4,976468.1258047604,201,max iterations
184,cap62,90,10,2.9346139430999756,977799.4,977721.1237938041,36,reached dual gap tolerance
185,cap62,90,12,3.0631215572357178,977799.4,977490.6137822521,37,reached subgradient tolerance
186,cap62,90,14,3.3004050254821777,977799.4,977573.64672658,43,reached subgradient tolerance
187,cap62,90,16,2.5184175968170166,977799.4,977417.2203856023,32,reached subgradient tolerance
188,cap62,90,18,2.776109218597412,977799.4,977564.1896411458,28,reached subgradient tolerance
189,cap62,90,20,3.0068910121917725,977799.4,977748.2724136482,36,reached dual gap tolerance
190,cap62,100,2,7.8109450340271,982761.8375,951146.5114992562,201,max iterations
191,cap62,100,4,8.905148267745972,977799.4,956539.0965504375,201,max iterations
